"","names","nominated","win","prop"
"82","0005139",7,0,0
"63","0027572",6,0,0
"83","0001837",6,0,0
"85","0000759",6,0,0
"94","0006487",6,0,0
"22","0000500",5,0,0
"44","0000186",4,0,0
"69","0000520",4,0,0
"1","0634240",3,0,0
"18","0000631",3,0,0
"19","0939992",3,0,0
"21","0001104",3,0,0
"26","0000076",3,0,0
"42","0001501",3,0,0
"43","0001023",3,0,0
"49","0000694",3,0,0
"51","0695937",3,0,0
"78","0671957",3,0,0
"84","0002120",3,0,0
"95","0623768",3,0,0
"6","0000320",2,0,0
"7","0000399",2,0,0
"16","0598102",2,0,0
"36","0001425",2,0,0
"55","0202088",2,0,0
"56","0903049",2,0,0
"60","0000318",2,0,0
"61","0886754",2,0,0
"65","0000953",2,0,0
"81","0649097",2,0,0
"87","0454771",2,0,0
"93","0000570",2,0,0
"97","0359734",2,0,0
"102","0000490",2,0,0
"9","0000001",1,0,0
"20","0899581",1,0,0
"28","0003836",1,0,0
"29","0001120",1,0,0
"32","1410815",1,0,0
"37","0001661",1,0,0
"40","0000416",1,0,0
"46","0001348",1,0,0
"50","0744023",1,0,0
"53","0006445",1,0,0
"54","0004716",1,0,0
"57","0000466",1,0,0
"70","0339030",1,0,0
"75","0001885",1,0,0
"76","0226189",1,0,0
"77","0712947",1,0,0
"79","0856267",1,0,0
"86","0836328",1,0,0
"88","0847223",1,0,0
"89","0576987",1,0,0
"90","0001603",1,0,0
"98","0002233",1,0,0
